day,eColi,yearsSafe,yearsUnSafe
1,135,9,14
2,21,5,12
3,199,8,24
4,200,13,18
5,119,7,15
6,140,6,12
7,185,10,8
8,37,7,21
9,27,7,2
10,88,8,4
11,15,7,8
12,50,10,4
13,20,3,19
14,80,2,11
15,105,15,7
16,187,17,23
17,95,5,2
18,197,16,14
19,95,25,3
20,113,15,6
21,121,16,22
22,75,1,24
23,134,12,3
24,11,21,14
25,33,15,9
26,38,15,11
27,57,3,16
28,21,14,6
29,81,1,9
30,24,4,6
31,154,25,24
32,19,11,1
33,56,14,21
34,22,19,25
35,189,11,1
36,193,10,18
37,90,7,14
38,176,5,7
39,29,19,8
40,84,5,24
41,172,17,5
42,127,25,12
43,154,9,12
44,189,7,16
45,79,3,15
46,1,7,18
47,160,22,18
48,95,16,7
49,48,14,25
50,129,22,8
51,115,3,5
52,104,4,19
53,151,8,6
54,188,12,19
55,7,22,11
56,131,16,18
57,185,24,13
58,15,5,16
59,192,13,1
60,65,17,22
61,65,14,3
62,186,4,17
63,2,1,18
64,46,1,14
65,32,14,4
66,157,24,21
67,100,9,6
68,94,9,19
69,143,23,19
70,124,21,8
71,193,20,14
72,28,18,25
73,48,11,8
74,11,14,2
75,154,24,17
76,85,20,13
77,62,19,25
78,143,19,4
79,11,25,7
80,33,9,14
81,190,10,12
82,75,12,19
83,99,17,17
84,140,25,10
85,128,25,22
86,39,8,24
87,126,2,2
88,18,12,12
89,36,5,21
90,194,1,17
91,33,20,2
92,181,5,24
93,33,10,24
94,53,22,12
95,89,19,11
96,113,16,4
97,23,12,19
98,100,10,2
99,115,9,20
100,31,15,7
101,20,8,11
102,164,3,2
103,1,6,14
104,68,19,14
105,169,22,23
106,183,24,3
107,131,23,6
108,196,24,15
109,90,15,8
110,115,7,9
111,35,9,17
112,26,20,14
113,151,13,16
114,46,14,16
115,38,16,5
116,43,2,15
117,108,5,5
118,179,11,7
119,105,24,7
120,75,15,3
121,40,15,22
122,86,21,15
123,183,14,20
124,197,4,4
125,132,1,22
126,79,10,7
127,118,1,20
128,104,3,14
129,106,13,17
130,90,3,22
131,182,7,22
132,42,4,3
133,189,21,2
134,29,5,17
135,58,1,23
136,163,15,9
137,188,12,9
138,147,9,24
139,76,11,6
140,174,16,3
141,81,17,22
142,176,2,14
143,42,1,6
144,84,7,2
145,131,22,8
146,184,22,23
147,63,13,2
148,175,19,13
149,110,2,15
150,194,17,3
151,95,17,12
152,169,12,13
153,60,22,8
